rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
m/epsilon_road,Clara Benoit,True,Frame Weekly,Fresh,2.5/4,2023-01-15,"A sharp, moving film with terrific performances and real momentum, and the ambition is admirable even when the execution wobbles. (Review 306)"
m/crimson_night,Clara Benoit,True,Frame Weekly,Fresh,2.5/4,2022-04-14,"A gorgeous, patient picture with a startling final act, and the ambition is admirable even when the execution wobbles; every twist arrives twenty minutes after you saw it coming. (Review 307)"
m/epsilon_road,Clara Benoit,True,Frame Weekly,Fresh,4/5,2023-03-09,"A sharp, moving film with terrific performances and real momentum, and the score is used sparingly and lands hard; the ensemble is uniformly excellent. (Review 308)"
m/last_sky,Clara Benoit,True,Frame Weekly,Fresh,8/10,2021-05-09,"Smart writing and a superb lead turn make this an easy recommendation, and the script respects its own premise; the ensemble is uniformly excellent. (Review 309)"
m/golden_sky,Clara Benoit,True,Frame Weekly,Rotten,35%,2019-08-30,"Flat characters and clumsy pacing sink whatever goodwill it builds, and the editing is actively confusing. (Review 310) Verdict: 35%."
m/hollow_harvest,Clara Benoit,True,Frame Weekly,Fresh,3.5/4,2024-01-27,"Beautifully shot and confidently directed, it earns every beat, and the score is used sparingly and lands hard; the ensemble is uniformly excellent. (Review 311)"
m/beta_road,Clara Benoit,True,Frame Weekly,Fresh,B+,2023-09-22,"A gorgeous, patient picture with a startling final act, and it finds humour without undercutting the drama. (Review 312)"
m/epsilon_anthem,Clara Benoit,True,Frame Weekly,Rotten,D,2020-03-19,"Weightless spectacle in search of a reason to exist, and the leads have no chemistry to speak of. (Review 313)"
m/broken_sea,Clara Benoit,True,Frame Weekly,Fresh,2.5/4,2023-03-07,"Assured, generous filmmaking that trusts its audience, and the ambition is admirable even when the execution wobbles. (Review 314)"
m/beta_road,Clara Benoit,True,Frame Weekly,Fresh,4.5/5,2023-11-16,"Beautifully shot and confidently directed, it earns every beat, and the pacing never slackens. (Review 315) Verdict: 4.5/5."
m/beta_sea,Clara Benoit,True,Frame Weekly,Fresh,85%,2021-12-19,"Smart writing and a superb lead turn make this an easy recommendation, and it finds humour without undercutting the drama; the cinematography does real narrative work. (Review 316)"
m/beta_city,Clara Benoit,True,Frame Weekly,Rotten,C-,2022-12-06,"Weightless spectacle in search of a reason to exist, and the leads have no chemistry to speak of. (Review 317)"
m/northern_city,Clara Benoit,True,Frame Weekly,Fresh,6/10,2022-04-26,"Smart writing and a superb lead turn make this an easy recommendation, and it works better as a mood piece than as a story. (Review 318)"
m/broken_sea,Clara Benoit,True,Frame Weekly,Rotten,2,2022-11-23,"Flat characters and clumsy pacing sink whatever goodwill it builds, and the editing is actively confusing. (Review 319)"
m/beta_harvest,Clara Benoit,True,Frame Weekly,Fresh,A-,2020-09-19,"Assured, generous filmmaking that trusts its audience, and the ensemble is uniformly excellent. (Review 320)"
m/northern_road,Clara Benoit,True,Frame Weekly,Fresh,4.5/5,2022-08-12,"Smart writing and a superb lead turn make this an easy recommendation, and the score is used sparingly and lands hard. (Review 321)"
m/silent_garden,Clara Benoit,True,Frame Weekly,Fresh,4.5/5,2023-08-10,"A sharp, moving film with terrific performances and real momentum, and the pacing never slackens; the cinematography does real narrative work. (Review 322)"
m/hollow_winter,Clara Benoit,True,Frame Weekly,Fresh,2.5/4,2020-06-22,"An absolute delight from the first frame to the last, and it works better as a mood piece than as a story; it mistakes volume for tension. (Review 323)"
m/golden_sea,Clara Benoit,True,Frame Weekly,Fresh,A-,2021-05-18,"Assured, generous filmmaking that trusts its audience, and the score is used sparingly and lands hard. (Review 324)"
m/hollow_road,Clara Benoit,True,Frame Weekly,Fresh,6/10,2023-09-09,"A sharp, moving film with terrific performances and real momentum, and the ambition is admirable even when the execution wobbles. (Review 325)"
m/epsilon_anthem,Ravi Menon,True,The Reeling,Fresh,B+,2020-07-04,"Smart writing and a superb lead turn make this an easy recommendation, and the ensemble is uniformly excellent; the pacing never slackens. (Review 326)"
m/broken_sky,Ravi Menon,True,The Reeling,Fresh,B,2023-02-19,"Beautifully shot and confidently directed, it earns every beat, and the ensemble is uniformly excellent. (Review 327)"
m/silent_anthem,Ravi Menon,True,The Reeling,Fresh,8/10,2022-04-16,"A gorgeous, patient picture with a startling final act, and the score is used sparingly and lands hard. (Review 328)"
m/hollow_road,Ravi Menon,True,The Reeling,Fresh,3/5,2023-01-26,"Smart writing and a superb lead turn make this an easy recommendation, and it works better as a mood piece than as a story. (Review 329)"
m/alpha_sea,Ravi Menon,True,The Reeling,Fresh,B+,2022-09-14,"Assured, generous filmmaking that trusts its audience, and the score is used sparingly and lands hard. (Review 330)"
m/beta_orbit,Ravi Menon,True,The Reeling,Fresh,4/5,2021-03-24,"Beautifully shot and confidently directed, it earns every beat, and the ensemble is uniformly excellent. (Review 331)"
m/crimson_night,Ravi Menon,True,The Reeling,Fresh,A-,2022-05-08,"A sharp, moving film with terrific performances and real momentum, and the cinematography does real narrative work; it finds humour without undercutting the drama. (Review 332)"
m/beta_winter,Ravi Menon,True,The Reeling,Fresh,85%,2022-08-19,"Smart writing and a superb lead turn make this an easy recommendation, and the cinematography does real narrative work. (Review 333)"
m/hollow_road,Ravi Menon,True,The Reeling,Fresh,B+,2023-11-05,"Smart writing and a superb lead turn make this an easy recommendation, and the script respects its own premise. (Review 334)"
m/silent_garden,Ravi Menon,True,The Reeling,Fresh,3/5,2023-08-06,"Smart writing and a superb lead turn make this an easy recommendation, and there is a leaner, stranger film buried in here; it mistakes volume for tension. (Review 335)"
m/broken_orbit,Ravi Menon,True,The Reeling,Fresh,4.5/5,2021-11-06,"A sharp, moving film with terrific performances and real momentum, and the cinematography does real narrative work; it finds humour without undercutting the drama. (Review 336)"
m/last_sky,Ravi Menon,True,The Reeling,Fresh,B,2020-10-06,"Assured, generous filmmaking that trusts its audience, and it finds humour without undercutting the drama. (Review 337)"
m/hollow_sea,Ravi Menon,True,The Reeling,Fresh,8/10,2022-12-04,"Beautifully shot and confidently directed, it earns every beat, and the ensemble is uniformly excellent; the pacing never slackens. (Review 338)"
m/silent_winter,Ravi Menon,True,The Reeling,Fresh,B+,2022-06-30,"Smart writing and a superb lead turn make this an easy recommendation, and the score is used sparingly and lands hard; it finds humour without undercutting the drama. (Review 339)"
m/epsilon_night,Ravi Menon,True,The Reeling,Fresh,4.5/5,2023-05-15,"Assured, generous filmmaking that trusts its audience, and the ensemble is uniformly excellent; the ensemble is uniformly excellent. (Review 340) Verdict: 4.5/5."
m/beta_sea,Ravi Menon,True,The Reeling,Fresh,4/5,2021-09-09,"Assured, generous filmmaking that trusts its audience, and the ensemble is uniformly excellent. (Review 341)"
m/northern_city,Ravi Menon,True,The Reeling,Fresh,3.5/4,2022-06-09,"Smart writing and a superb lead turn make this an easy recommendation, and the script respects its own premise; the pacing never slackens. (Review 342)"
m/beta_road,Ravi Menon,True,The Reeling,Fresh,4.5/5,2023-05-15,"An absolute delight from the first frame to the last, and the pacing never slackens. (Review 343)"
m/silent_garden,Ravi Menon,True,The Reeling,Fresh,9,2023-06-29,"A gorgeous, patient picture with a startling final act, and the ensemble is uniformly excellent. (Review 344)"
m/gamma_city,Ravi Menon,True,The Reeling,Fresh,A-,2021-09-14,"Smart writing and a superb lead turn make this an easy recommendation, and it finds humour without undercutting the drama; the ensemble is uniformly excellent. (Review 345)"
m/beta_night,Ravi Menon,True,The Reeling,Fresh,8/10,2021-10-07,"A gorgeous, patient picture with a startling final act, and it finds humour without undercutting the drama. (Review 346)"
m/beta_road,Ravi Menon,True,The Reeling,Fresh,9,2023-11-09,"Beautifully shot and confidently directed, it earns every beat, and it finds humour without undercutting the drama; it finds humour without undercutting the drama. (Review 347) Verdict: 9."
m/hollow_sea,Ravi Menon,True,The Reeling,Fresh,8/10,2022-07-28,"A gorgeous, patient picture with a startling final act, and the script respects its own premise; the cinematography does real narrative work. (Review 348) Verdict: 8/10."
m/crimson_night,Ravi Menon,True,The Reeling,Fresh,A-,2022-06-04,"Beautifully shot and confidently directed, it earns every beat, and the pacing never slackens; the cinematography does real narrative work. (Review 349)"
m/alpha_sky,Ravi Menon,True,The Reeling,Fresh,4.5/5,2023-01-06,"Assured, generous filmmaking that trusts its audience, and the cinematography does real narrative work. (Review 350)"
m/beta_night,Ravi Menon,True,The Reeling,Fresh,3.5/4,2021-08-19,"A gorgeous, patient picture with a startling final act, and the cinematography does real narrative work; the cinematography does real narrative work. (Review 351)"
m/alpha_road,Ravi Menon,True,The Reeling,Fresh,4.5/5,2023-12-07,"A gorgeous, patient picture with a startling final act, and the ensemble is uniformly excellent. (Review 352)"
m/silent_city,Greta Halvorsen,True,Northside Review,Rotten,35%,2021-03-14,"A disappointing misfire that never finds its footing, and the editing is actively confusing; the leads have no chemistry to speak of. (Review 353)"
m/hollow_winter,Greta Halvorsen,True,Northside Review,Rotten,3/10,2020-10-02,"Weightless spectacle in search of a reason to exist, and the leads have no chemistry to speak of; the editing is actively confusing. (Review 354)"
m/hollow_winter,Greta Halvorsen,True,Northside Review,Rotten,3/10,2020-06-18,"Weightless spectacle in search of a reason to exist, and it mistakes volume for tension. (Review 355) Verdict: 3/10."
m/epsilon_road,Greta Halvorsen,True,Northside Review,Rotten,3/10,2023-02-20,"Handsomely mounted and entirely inert, and the third act abandons its own rules; it mistakes volume for tension. (Review 356)"
m/crimson_city,Greta Halvorsen,True,Northside Review,Fresh,85%,2020-10-29,"Assured, generous filmmaking that trusts its audience, and the pacing never slackens. (Review 357) Verdict: 85%."
m/beta_road,Greta Halvorsen,True,Northside Review,Fresh,3/5,2023-04-28,"Assured, generous filmmaking that trusts its audience, and the ambition is admirable even when the execution wobbles. (Review 358)"
m/gamma_road,Greta Halvorsen,True,Northside Review,Fresh,9,2020-05-24,"An absolute delight from the first frame to the last, and the score is used sparingly and lands hard. (Review 359) Verdict: 9."
m/epsilon_anthem,Greta Halvorsen,True,Northside Review,Rotten,1.5/5,2020-03-11,"Flat characters and clumsy pacing sink whatever goodwill it builds, and the leads have no chemistry to speak of. (Review 360)"
m/hollow_anthem,Greta Halvorsen,True,Northside Review,Rotten,C-,2022-08-26,"A tedious, overlong mess that squanders a promising premise, and it mistakes volume for tension; the third act abandons its own rules. (Review 361)"
m/alpha_signal,Greta Halvorsen,True,Northside Review,Fresh,4.5/5,2020-05-20,"Assured, generous filmmaking that trusts its audience, and the pacing never slackens. (Review 362)"
m/hollow_road,Greta Halvorsen,True,Northside Review,Rotten,2,2023-06-29,"Handsomely mounted and entirely inert, and the third act abandons its own rules. (Review 363)"
m/golden_road,Greta Halvorsen,True,Northside Review,Rotten,2,2021-11-07,"Handsomely mounted and entirely inert, and the humour is broad and joyless. (Review 364)"
m/beta_sea,Greta Halvorsen,True,Northside Review,Rotten,D+,2021-12-10,"Predictable and lifeless, with dialogue that lands with a thud, and the leads have no chemistry to speak of. (Review 365)"
m/hollow_sea,Greta Halvorsen,True,Northside Review,Rotten,2,2023-03-11,"Predictable and lifeless, with dialogue that lands with a thud, and it mistakes volume for tension. (Review 366)"
m/hollow_sea,Greta Halvorsen,True,Northside Review,Fresh,5,2023-01-06,"Beautifully shot and confidently directed, it earns every beat, and it works better as a mood piece than as a story. (Review 367)"
m/beta_night,Greta Halvorsen,True,Northside Review,Rotten,D+,2022-01-22,"Handsomely mounted and entirely inert, and the leads have no chemistry to speak of. (Review 368) Verdict: D+."
m/silent_winter,Greta Halvorsen,True,Northside Review,Fresh,85%,2022-09-22,"Beautifully shot and confidently directed, it earns every beat, and the script respects its own premise. (Review 369) Verdict: 85%."
m/crimson_night,Greta Halvorsen,True,Northside Review,Fresh,C+,2022-04-26,"A sharp, moving film with terrific performances and real momentum, and the ambition is admirable even when the execution wobbles. (Review 370) Verdict: C+."
m/silent_winter,Greta Halvorsen,True,Northside Review,Rotten,D+,2022-11-22,"Weightless spectacle in search of a reason to exist, and it mistakes volume for tension; the third act abandons its own rules. (Review 371)"
m/gamma_road,Greta Halvorsen,True,Northside Review,Rotten,2,2020-03-09,"Weightless spectacle in search of a reason to exist, and the editing is actively confusing; the editing is actively confusing. (Review 372)"
m/silent_winter,Greta Halvorsen,True,Northside Review,Fresh,4.5/5,2022-04-03,"A sharp, moving film with terrific performances and real momentum, and it finds humour without undercutting the drama. (Review 373)"
m/gamma_road,Greta Halvorsen,True,Northside Review,Rotten,C-,2020-05-01,"A disappointing misfire that never finds its footing, and the editing is actively confusing. (Review 374)"
m/silent_city,Greta Halvorsen,True,Northside Review,Fresh,3.5/4,2021-06-01,"Assured, generous filmmaking that trusts its audience, and it finds humour without undercutting the drama. (Review 375)"
m/golden_sky,Greta Halvorsen,True,Northside Review,Fresh,4/5,2020-04-02,"Assured, generous filmmaking that trusts its audience, and the score is used sparingly and lands hard; the ensemble is uniformly excellent. (Review 376) Verdict: 4/5."
m/hollow_winter,Greta Halvorsen,True,Northside Review,Fresh,2.5/4,2021-07-19,"A gorgeous, patient picture with a startling final act, and it works better as a mood piece than as a story. (Review 377)"
m/epsilon_road,Greta Halvorsen,True,Northside Review,Fresh,B+,2022-05-16,"A gorgeous, patient picture with a startling final act, and the cinematography does real narrative work. (Review 378)"
m/alpha_road,Greta Halvorsen,True,Northside Review,Fresh,3.5/4,2023-02-11,"An absolute delight from the first frame to the last, and the score is used sparingly and lands hard. (Review 379)"
m/epsilon_anthem,Greta Halvorsen,True,Northside Review,Fresh,8/10,2021-01-08,"A gorgeous, patient picture with a startling final act, and the score is used sparingly and lands hard. (Review 380)"
m/beta_night,Greta Halvorsen,True,Northside Review,Rotten,D,2021-12-09,"A tedious, overlong mess that squanders a promising premise, and the editing is actively confusing; the third act abandons its own rules. (Review 381)"
m/alpha_sky,Greta Halvorsen,True,Northside Review,Rotten,3/10,2022-11-29,"Weightless spectacle in search of a reason to exist, and the humour is broad and joyless. (Review 382)"
m/hollow_winter,Greta Halvorsen,True,Northside Review,Rotten,3/10,2020-07-04,"Weightless spectacle in search of a reason to exist, and the leads have no chemistry to speak of. (Review 383) Verdict: 3/10."
m/beta_night,Greta Halvorsen,True,Northside Review,Rotten,2,2021-11-14,"Weightless spectacle in search of a reason to exist, and the humour is broad and joyless. (Review 384) Verdict: 2."
m/beta_city,Oscar Delgado,True,The Reeling,Fresh,4/5,2022-09-10,"A gorgeous, patient picture with a startling final act, and the score is used sparingly and lands hard; the script respects its own premise. (Review 385) Verdict: 4/5."
m/alpha_sea,Oscar Delgado,True,The Reeling,Fresh,9,2022-05-29,"Assured, generous filmmaking that trusts its audience, and the score is used sparingly and lands hard; the score is used sparingly and lands hard. (Review 386) Verdict: 9."
m/last_sky,Oscar Delgado,True,The Reeling,Fresh,9,2021-07-24,"Smart writing and a superb lead turn make this an easy recommendation, and it finds humour without undercutting the drama. (Review 387)"
m/alpha_signal,Oscar Delgado,True,The Reeling,Fresh,60%,2019-11-15,"An absolute delight from the first frame to the last, and it works better as a mood piece than as a story; the humour is broad and joyless. (Review 388)"
m/hollow_sea,Oscar Delgado,True,The Reeling,Fresh,6/10,2022-07-13,"Assured, generous filmmaking that trusts its audience, and there is a leaner, stranger film buried in here. (Review 389)"
m/hollow_anthem,Oscar Delgado,True,The Reeling,Fresh,4/5,2022-12-24,"An absolute delight from the first frame to the last, and the script respects its own premise; the score is used sparingly and lands hard. (Review 390) Verdict: 4/5."
m/alpha_sky,Oscar Delgado,True,The Reeling,Fresh,4/5,2023-05-28,"Smart writing and a superb lead turn make this an easy recommendation, and the score is used sparingly and lands hard; the ensemble is uniformly excellent. (Review 391)"
m/epsilon_road,Oscar Delgado,True,The Reeling,Fresh,8/10,2023-01-02,"Beautifully shot and confidently directed, it earns every beat, and it finds humour without undercutting the drama; the script respects its own premise. (Review 392)"
m/alpha_signal,Oscar Delgado,True,The Reeling,Rotten,1.5/5,2019-08-11,"Handsomely mounted and entirely inert, and the humour is broad and joyless. (Review 393) Verdict: 1.5/5."
m/beta_machine,Oscar Delgado,True,The Reeling,Fresh,3/5,2020-10-06,"Beautifully shot and confidently directed, it earns every beat, and the ambition is admirable even when the execution wobbles. (Review 394)"
m/northern_city,Oscar Delgado,True,The Reeling,Fresh,B+,2022-12-25,"An absolute delight from the first frame to the last, and the score is used sparingly and lands hard. (Review 395) Verdict: B+."
m/alpha_signal,Oscar Delgado,True,The Reeling,Fresh,B,2020-03-25,"An absolute delight from the first frame to the last, and it finds humour without undercutting the drama; the score is used sparingly and lands hard. (Review 396) Verdict: B."
m/silent_anthem,Oscar Delgado,True,The Reeling,Fresh,B,2022-10-15,"A gorgeous, patient picture with a startling final act, and the ensemble is uniformly excellent. (Review 397) Verdict: B."
m/broken_sea,Oscar Delgado,True,The Reeling,Fresh,8/10,2022-09-02,"An absolute delight from the first frame to the last, and it finds humour without undercutting the drama. (Review 398)"
m/beta_orbit,Oscar Delgado,True,The Reeling,Fresh,B+,2020-08-25,"Beautifully shot and confidently directed, it earns every beat, and the score is used sparingly and lands hard. (Review 399)"
m/delta_road,Oscar Delgado,True,The Reeling,Fresh,B,2021-11-20,"Assured, generous filmmaking that trusts its audience, and the pacing never slackens. (Review 400)"
m/broken_sky,Mei Tanaka,True,Frame Weekly,Rotten,D,2022-06-13,"Predictable and lifeless, with dialogue that lands with a thud, and every twist arrives twenty minutes after you saw it coming. (Review 401) Verdict: D."
m/beta_city,Mei Tanaka,True,Frame Weekly,Fresh,8/10,2022-09-25,"Beautifully shot and confidently directed, it earns every beat, and the pacing never slackens. (Review 402)"
m/silent_winter,Mei Tanaka,True,Frame Weekly,Fresh,B,2022-06-04,"An absolute delight from the first frame to the last, and it finds humour without undercutting the drama; the score is used sparingly and lands hard. (Review 403) Verdict: B."
m/golden_sea,Mei Tanaka,True,Frame Weekly,Fresh,9,2021-06-24,"Beautifully shot and confidently directed, it earns every beat, and the ensemble is uniformly excellent. (Review 404) Verdict: 9."
m/beta_winter,Mei Tanaka,True,Frame Weekly,Fresh,A-,2022-10-22,"Assured, generous filmmaking that trusts its audience, and the cinematography does real narrative work. (Review 405) Verdict: A-."
m/silent_garden,Mei Tanaka,True,Frame Weekly,Rotten,D+,2022-12-31,"Flat characters and clumsy pacing sink whatever goodwill it builds, and the humour is broad and joyless; it mistakes volume for tension. (Review 406)"
m/silent_winter,Mei Tanaka,True,Frame Weekly,Fresh,4.5/5,2022-12-15,"A gorgeous, patient picture with a startling final act, and the cinematography does real narrative work; the score is used sparingly and lands hard. (Review 407)"
m/golden_sky,Mei Tanaka,True,Frame Weekly,Fresh,5,2020-05-04,"Smart writing and a superb lead turn make this an easy recommendation, and the ambition is admirable even when the execution wobbles; it mistakes volume for tension. (Review 408)"
m/delta_road,Mei Tanaka,True,Frame Weekly,Fresh,3.5/4,2022-04-09,"Beautifully shot and confidently directed, it earns every beat, and the cinematography does real narrative work; it finds humour without undercutting the drama. (Review 409)"
m/beta_orbit,Mei Tanaka,True,Frame Weekly,Fresh,4/5,2021-01-13,"Smart writing and a superb lead turn make this an easy recommendation, and the score is used sparingly and lands hard; the cinematography does real narrative work. (Review 410)"
m/golden_road,Mei Tanaka,True,Frame Weekly,Rotten,2,2021-10-22,"Flat characters and clumsy pacing sink whatever goodwill it builds, and the editing is actively confusing; the humour is broad and joyless. (Review 411)"
m/golden_sea,Mei Tanaka,True,Frame Weekly,Fresh,4.5/5,2020-12-01,"A gorgeous, patient picture with a startling final act, and the cinematography does real narrative work; the score is used sparingly and lands hard. (Review 412) Verdict: 4.5/5."
m/beta_orbit,Mei Tanaka,True,Frame Weekly,Fresh,A-,2020-11-25,"An absolute delight from the first frame to the last, and it finds humour without undercutting the drama; the pacing never slackens. (Review 413)"
m/crimson_city,Mei Tanaka,True,Frame Weekly,Fresh,3.5/4,2021-04-11,"Beautifully shot and confidently directed, it earns every beat, and the script respects its own premise; the ensemble is uniformly excellent. (Review 414)"
m/alpha_sky,Mei Tanaka,True,Frame Weekly,Rotten,D+,2023-04-18,"Flat characters and clumsy pacing sink whatever goodwill it builds, and the third act abandons its own rules; the third act abandons its own rules. (Review 415)"
m/golden_road,Mei Tanaka,True,Frame Weekly,Rotten,1/4,2022-05-07,"Predictable and lifeless, with dialogue that lands with a thud, and it mistakes volume for tension; the editing is actively confusing. (Review 416)"
m/gamma_road,Mei Tanaka,True,Frame Weekly,Fresh,8/10,2020-07-11,"An absolute delight from the first frame to the last, and the score is used sparingly and lands hard. (Review 417)"
m/gamma_road,Mei Tanaka,True,Frame Weekly,Fresh,4.5/5,2020-09-21,"A gorgeous, patient picture with a startling final act, and the pacing never slackens; the pacing never slackens. (Review 418)"
m/silent_garden,Mei Tanaka,True,Frame Weekly,Rotten,2,2023-08-05,"A tedious, overlong mess that squanders a promising premise, and every twist arrives twenty minutes after you saw it coming. (Review 419) Verdict: 2."
m/crimson_city,Mei Tanaka,True,Frame Weekly,Fresh,B,2020-11-06,"A gorgeous, patient picture with a startling final act, and the pacing never slackens. (Review 420) Verdict: B."
m/golden_sea,Mei Tanaka,True,Frame Weekly,Fresh,A-,2020-10-21,"An absolute delight from the first frame to the last, and the score is used sparingly and lands hard; the score is used sparingly and lands hard. (Review 421)"
m/beta_machine,Mei Tanaka,True,Frame Weekly,Fresh,5,2020-10-26,"A gorgeous, patient picture with a startling final act, and there is a leaner, stranger film buried in here. (Review 422) Verdict: 5."
m/last_sky,Mei Tanaka,True,Frame Weekly,Fresh,4/5,2020-11-27,"A sharp, moving film with terrific performances and real momentum, and the score is used sparingly and lands hard. (Review 423)"
m/epsilon_anthem,Mei Tanaka,True,Frame Weekly,Fresh,4.5/5,2020-02-28,"Smart writing and a superb lead turn make this an easy recommendation, and the ensemble is uniformly excellent; it finds humour without undercutting the drama. (Review 424)"
m/northern_city,Mei Tanaka,True,Frame Weekly,Fresh,60%,2023-02-17,"A sharp, moving film with terrific performances and real momentum, and the ambition is admirable even when the execution wobbles. (Review 425) Verdict: 60%."
m/silent_garden,Mei Tanaka,True,Frame Weekly,Fresh,4/5,2023-05-29,"A sharp, moving film with terrific performances and real momentum, and the ensemble is uniformly excellent. (Review 426)"
m/delta_road,Mei Tanaka,True,Frame Weekly,Fresh,3.5/4,2021-10-15,"Assured, generous filmmaking that trusts its audience, and the script respects its own premise. (Review 427)"
m/gamma_orbit,Mei Tanaka,True,Frame Weekly,Fresh,4.5/5,2022-09-25,"Beautifully shot and confidently directed, it earns every beat, and it finds humour without undercutting the drama. (Review 428)"
m/epsilon_night,Mei Tanaka,True,Frame Weekly,Fresh,3.5/4,2023-06-17,"Smart writing and a superb lead turn make this an easy recommendation, and the script respects its own premise. (Review 429) Verdict: 3.5/4."
m/beta_road,Mei Tanaka,True,Frame Weekly,Rotten,2,2023-07-31,"A disappointing misfire that never finds its footing, and the leads have no chemistry to speak of. (Review 430)"
m/beta_city,Mei Tanaka,True,Frame Weekly,Fresh,3.5/4,2022-01-17,"A gorgeous, patient picture with a startling final act, and the pacing never slackens. (Review 431) Verdict: 3.5/4."
m/alpha_sea,Mei Tanaka,True,Frame Weekly,Fresh,4/5,2022-05-25,"Assured, generous filmmaking that trusts its audience, and the script respects its own premise; the script respects its own premise. (Review 432) Verdict: 4/5."
m/alpha_sky,Mei Tanaka,True,Frame Weekly,Fresh,3.5/4,2023-08-16,"A sharp, moving film with terrific performances and real momentum, and the pacing never slackens. (Review 433)"
m/hollow_sea,Julian Frost,True,Screen Ledger,Fresh,3.5/4,2022-08-13,"An absolute delight from the first frame to the last, and the pacing never slackens; it finds humour without undercutting the drama. (Review 434) Verdict: 3.5/4."
m/silent_anthem,Julian Frost,True,Screen Ledger,Rotten,D+,2022-08-05,"Flat characters and clumsy pacing sink whatever goodwill it builds, and the third act abandons its own rules. (Review 435)"
m/alpha_signal,Julian Frost,True,Screen Ledger,Fresh,3.5/4,2019-09-19,"A gorgeous, patient picture with a startling final act, and the cinematography does real narrative work. (Review 436) Verdict: 3.5/4."
m/hollow_harvest,Julian Frost,True,Screen Ledger,Fresh,B,2023-05-27,"Beautifully shot and confidently directed, it earns every beat, and the pacing never slackens. (Review 437) Verdict: B."
m/beta_orbit,Julian Frost,True,Screen Ledger,Fresh,A-,2020-09-08,"Smart writing and a superb lead turn make this an easy recommendation, and the score is used sparingly and lands hard. (Review 438)"
m/crimson_night,Julian Frost,True,Screen Ledger,Fresh,3.5/4,2022-03-03,"Beautifully shot and confidently directed, it earns every beat, and it finds humour without undercutting the drama; the pacing never slackens. (Review 439)"
m/silent_city,Julian Frost,True,Screen Ledger,Fresh,5,2020-10-07,"A sharp, moving film with terrific performances and real momentum, and the ambition is admirable even when the execution wobbles; the humour is broad and joyless. (Review 440) Verdict: 5."
m/epsilon_anthem,Julian Frost,True,Screen Ledger,Fresh,A-,2020-06-23,"Assured, generous filmmaking that trusts its audience, and the pacing never slackens. (Review 441) Verdict: A-."
m/golden_sky,Julian Frost,True,Screen Ledger,Fresh,4.5/5,2019-07-01,"Smart writing and a superb lead turn make this an easy recommendation, and the pacing never slackens. (Review 442)"
m/alpha_road,Julian Frost,True,Screen Ledger,Fresh,3.5/4,2023-08-19,"An absolute delight from the first frame to the last, and it finds humour without undercutting the drama. (Review 443) Verdict: 3.5/4."
m/alpha_signal,Julian Frost,True,Screen Ledger,Fresh,A-,2019-09-11,"A gorgeous, patient picture with a startling final act, and the cinematography does real narrative work. (Review 444) Verdict: A-."
m/hollow_harvest,Julian Frost,True,Screen Ledger,Fresh,2.5/4,2023-01-27,"Smart writing and a superb lead turn make this an easy recommendation, and there is a leaner, stranger film buried in here. (Review 445)"
m/broken_orbit,Julian Frost,True,Screen Ledger,Fresh,B,2022-07-19,"Assured, generous filmmaking that trusts its audience, and the score is used sparingly and lands hard. (Review 446)"
m/last_sky,Julian Frost,True,Screen Ledger,Fresh,8/10,2021-04-20,"Smart writing and a superb lead turn make this an easy recommendation, and the pacing never slackens; the score is used sparingly and lands hard. (Review 447) Verdict: 8/10."
m/golden_sea,Julian Frost,True,Screen Ledger,Fresh,4.5/5,2021-01-30,"Smart writing and a superb lead turn make this an easy recommendation, and the score is used sparingly and lands hard. (Review 448)"
m/silent_garden,Julian Frost,True,Screen Ledger,Fresh,B,2023-05-03,"Assured, generous filmmaking that trusts its audience, and the score is used sparingly and lands hard. (Review 449) Verdict: B."
m/epsilon_anthem,Julian Frost,True,Screen Ledger,Fresh,4/5,2020-02-27,"Smart writing and a superb lead turn make this an easy recommendation, and the score is used sparingly and lands hard. (Review 450)"
m/alpha_sea,Nadia Haddad,True,Cinema Post,Fresh,85%,2022-10-03,"Assured, generous filmmaking that trusts its audience, and the score is used sparingly and lands hard. (Review 451)"
m/epsilon_anthem,Nadia Haddad,True,Cinema Post,Fresh,4.5/5,2020-07-13,"Assured, generous filmmaking that trusts its audience, and it finds humour without undercutting the drama. (Review 452)"
m/gamma_city,Nadia Haddad,True,Cinema Post,Rotten,1/4,2021-05-20,"Handsomely mounted and entirely inert, and it mistakes volume for tension. (Review 453)"
m/beta_road,Nadia Haddad,True,Cinema Post,Rotten,1.5/5,2023-03-02,"A disappointing misfire that never finds its footing, and the humour is broad and joyless; the humour is broad and joyless. (Review 454)"
m/northern_city,Nadia Haddad,True,Cinema Post,Rotten,3/10,2023-01-04,"Weightless spectacle in search of a reason to exist, and the editing is actively confusing. (Review 455) Verdict: 3/10."
m/crimson_city,Nadia Haddad,True,Cinema Post,Fresh,9,2020-07-20,"Assured, generous filmmaking that trusts its audience, and the ensemble is uniformly excellent; the score is used sparingly and lands hard. (Review 456)"
m/silent_garden,Nadia Haddad,True,Cinema Post,Rotten,35%,2023-01-13,"Predictable and lifeless, with dialogue that lands with a thud, and it mistakes volume for tension. (Review 457)"
m/northern_road,Nadia Haddad,True,Cinema Post,Fresh,4.5/5,2023-01-25,"Assured, generous filmmaking that trusts its audience, and the ensemble is uniformly excellent. (Review 458)"
